study,configuration,activation,optimizer,regularization,epochs_ran,best_epoch,final_train_accuracy,final_train_loss,best_val_accuracy,best_val_loss,test_accuracy,test_loss,training_time_seconds
baseline,ReLU + Adam + None,relu,adam,none,15,14,0.9319999814033508,0.181309312582016,0.8837000131607056,0.337578147649765,0.8737999796867371,0.39079976081848145,13.630187199999455
activation,relu,relu,adam,none,15,14,0.9319999814033508,0.181309312582016,0.8837000131607056,0.337578147649765,0.8737999796867371,0.39079976081848145,13.729672600000413
activation,sigmoid,sigmoid,adam,none,15,15,0.9147599935531616,0.2363474816083908,0.8863999843597412,0.31078726053237915,0.8787999749183655,0.33947479724884033,13.67988620000051
activation,tanh,tanh,adam,none,15,14,0.9383000135421753,0.17546091973781586,0.8847000002861023,0.32425829768180847,0.8744999766349792,0.36508938670158386,13.683964699999706
activation,leaky_relu,leaky_relu,adam,none,15,12,0.931659996509552,0.18468086421489716,0.8828999996185303,0.33969274163246155,0.8695999979972839,0.4107683598995209,13.704785699999775
optimizer,sgd,relu,sgd,none,15,14,0.9114999771118164,0.243101567029953,0.8809000253677368,0.3407388925552368,0.8701000213623047,0.36146727204322815,11.737851599998976
optimizer,adam,relu,adam,none,15,14,0.9319999814033508,0.181309312582016,0.8837000131607056,0.337578147649765,0.8737999796867371,0.39079976081848145,13.673313400000552
optimizer,rmsprop,relu,rmsprop,none,15,11,0.9347000122070312,0.17974507808685303,0.8858000040054321,0.33139947056770325,0.8773000240325928,0.4365934431552887,12.759525899999062
optimizer,adagrad,relu,adagrad,none,15,15,0.8812599778175354,0.3349078893661499,0.8722000122070312,0.362057626247406,0.8662999868392944,0.382704496383667,12.727488800001083
regularization,none,relu,adam,none,15,14,0.9319999814033508,0.181309312582016,0.8837000131607056,0.337578147649765,0.8737999796867371,0.39079976081848145,13.578283500000907
regularization,dropout,relu,adam,dropout,15,15,0.8970000147819519,0.2762722671031952,0.8895000219345093,0.31245726346969604,0.880299985408783,0.3407474756240845,14.7408331000006
regularization,l1,relu,adam,l1,15,15,0.9242799878120422,0.28162240982055664,0.8845000267028809,0.41846680641174316,0.8776000142097473,0.43895137310028076,14.155590799999118
regularization,l2,relu,adam,l2,15,13,0.9217399954795837,0.27520376443862915,0.8833000063896179,0.3963607847690582,0.8733000159263611,0.4331182539463043,14.222506399999475
regularization,batch_norm,relu,adam,batch_norm,15,4,0.9720399975776672,0.08151552081108093,0.8769000172615051,0.33468878269195557,0.8299000263214111,0.6216431856155396,15.150987999999415
regularization,early_stopping,relu,adam,early_stopping,9,5,0.913320004940033,0.2341492623090744,0.8787999749183655,0.337578147649765,0.8705000281333923,0.3577958941459656,8.672336600000563
final,sigmoid + rmsprop + dropout,sigmoid,rmsprop,dropout,15,15,0.8759999871253967,0.3376406729221344,0.8776999711990356,0.33144357800483704,0.8704000115394592,0.3580767810344696,14.17527699999846
